FilaName 	 Orbit 	 I/E  	 Pos 	 F/P 	 Ls 	 Loct 	 Lat 	 Lon 
mir_2a_orb011729_n1_i_p1_04_f 	 011729 	 i 	 04 	 f 	    235.810 	     15.400 	     58.469 	    -72.399 
mir_2a_orb011738_n2_e_p1_04_f 	 011738 	 e 	 04 	 f 	    236.290 	     21.600 	    -64.883 	    113.038 
mir_2a_orb011754_n1_i_p1_04_f 	 011754 	 i 	 04 	 f 	    237.100 	     15.617 	     56.139 	    -66.455 
mir_2a_orb011774_n1_i_p1_04_f 	 011774 	 i 	 04 	 f 	    238.130 	     15.833 	     53.571 	     82.889 
mir_2a_orb011785_n2_e_p1_04_f 	 011785 	 e 	 04 	 f 	    238.720 	     20.117 	    -53.494 	   -176.362 
mir_2a_orb011798_n1_i_p1_04_f 	 011798 	 i 	 04 	 f 	    239.380 	     16.133 	     49.384 	    118.708 
mir_2a_orb011808_n2_e_p1_04_f 	 011808 	 e 	 04 	 f 	    239.910 	     19.500 	    -44.223 	   -124.625 
mir_2a_orb011821_n1_i_p1_04_f 	 011821 	 i 	 04 	 f 	    240.570 	     16.500 	     43.096 	   -175.945 
mir_2a_orb011839_n1_i_p1_04_f 	 011839 	 i 	 04 	 f 	    241.500 	     16.917 	     34.033 	     33.313 
mir_2a_orb012059_n1_i_p1_04_f 	 012059 	 i 	 04 	 f 	    252.910 	      5.267 	    -22.982 	     41.899 
mir_2a_orb012068_n2_e_p1_04_f 	 012068 	 e 	 04 	 f 	    253.390 	      7.667 	     43.015 	    174.559 
mir_2a_orb012078_n1_i_p1_04_f 	 012078 	 i 	 04 	 f 	    253.900 	      4.717 	    -36.074 	   -150.272 
mir_2a_orb012093_n2_e_p1_04_f 	 012093 	 e 	 04 	 f 	    254.690 	      8.217 	     50.036 	   -174.998 
mir_2a_orb012107_n1_i_p1_04_f 	 012107 	 i 	 04 	 f 	    255.400 	      3.933 	    -48.568 	     87.065 
mir_2a_orb012116_n2_e_p1_04_f 	 012116 	 e 	 04 	 f 	    255.880 	      8.550 	     53.379 	   -109.704 
mir_2a_orb012129_n1_i_p1_04_f 	 012129 	 i 	 04 	 f 	    256.540 	      3.300 	    -54.856 	    167.055 
mir_2a_orb012140_n2_e_p1_04_f 	 012140 	 e 	 04 	 f 	    257.130 	      8.867 	     55.710 	    -73.675 
mir_2a_orb012150_n1_i_p1_04_f 	 012150 	 i 	 04 	 f 	    257.630 	      2.650 	    -59.156 	    -84.706 
mir_2a_orb012159_n2_e_p1_04_f 	 012159 	 e 	 04 	 f 	    258.120 	      9.050 	     56.907 	    104.088 
