FilaName 	 Orbit 	 I/E  	 Pos 	 F/P 	 Ls 	 Loct 	 Lat 	 Lon 
mir_2a_orb004884_n1_e_p1_04_p 	 004884 	 e 	 04 	 p 	    314.020 	      3.200 	    -64.302 	   -107.974 
mir_2a_orb004898_n1_e_p1_04_p 	 004898 	 e 	 04 	 p 	    314.680 	      2.867 	    -66.420 	   -154.230 
mir_2a_orb004907_n1_i_p1_04_p 	 004907 	 i 	 04 	 p 	    315.090 	     15.100 	     64.910 	    141.199 
mir_2a_orb004926_n1_e_p1_04_p 	 004926 	 e 	 04 	 p 	    316.000 	      2.083 	    -70.051 	    110.961 
mir_2a_orb004945_n1_i_p1_04_p 	 004945 	 i 	 04 	 p 	    316.880 	     15.400 	     63.612 	    136.075 
mir_2a_orb004961_n1_i_p1_04_p 	 004961 	 i 	 04 	 p 	    317.630 	     15.567 	     62.670 	     39.662 
mir_2a_orb004979_n1_i_p1_04_p 	 004979 	 i 	 04 	 p 	    318.470 	     15.750 	     61.442 	   -113.802 
mir_2a_orb005000_n1_e_p1_04_p 	 005000 	 e 	 04 	 p 	    319.460 	     22.917 	    -73.307 	    101.795 
mir_2a_orb005024_n2_e_p1_04_p 	 005024 	 e 	 04 	 p 	    320.580 	     21.817 	    -71.546 	    117.122 
mir_2a_orb005032_n2_e_p1_04_p 	 005032 	 e 	 04 	 p 	    320.950 	     21.467 	    -70.577 	   -117.369 
mir_2a_orb005043_n2_e_p1_04_p 	 005043 	 e 	 04 	 p 	    321.460 	     21.033 	    -68.930 	    -79.309 
mir_2a_orb005053_n2_e_p1_04_p 	 005053 	 e 	 04 	 p 	    321.920 	     20.683 	    -67.233 	    -11.104 
mir_2a_orb005071_n2_e_p1_04_p 	 005071 	 e 	 04 	 p 	    322.750 	     20.100 	    -63.062 	   -175.790 
mir_2a_orb005081_n2_e_p1_04_p 	 005081 	 e 	 04 	 p 	    323.210 	     19.800 	    -60.083 	   -106.770 
mir_2a_orb005113_n1_i_p1_04_p 	 005113 	 i 	 04 	 p 	    324.670 	     17.450 	     28.261 	     26.609 
mir_2a_orb005352_n1_i_p1_04_p 	 005352 	 i 	 04 	 p 	    335.400 	      4.867 	    -58.493 	   -159.804 
mir_2a_orb005361_n2_e_p1_04_p 	 005361 	 e 	 04 	 p 	    335.810 	      6.467 	     34.023 	    -40.445 
mir_2a_orb005372_n1_i_p1_04_p 	 005372 	 i 	 04 	 p 	    336.290 	      4.400 	    -66.838 	    -19.714 
mir_2a_orb005381_n2_e_p1_04_p 	 005381 	 e 	 04 	 p 	    336.700 	      6.617 	     42.241 	    107.549 
mir_2a_orb005390_n1_i_p1_04_p 	 005390 	 i 	 04 	 p 	    337.080 	      3.900 	    -72.259 	    176.728 
mir_2a_orb005401_n2_e_p1_04_p 	 005401 	 e 	 04 	 p 	    337.580 	      6.717 	     48.157 	   -104.696 
mir_2a_orb005410_n1_i_p1_04_p 	 005410 	 i 	 04 	 p 	    337.960 	      3.150 	    -76.647 	    -47.761 
mir_2a_orb005427_n2_e_p1_04_p 	 005427 	 e 	 04 	 p 	    338.720 	      6.850 	     54.167 	   -128.725 
mir_2a_orb005436_n1_i_p1_04_p 	 005436 	 i 	 04 	 p 	    339.100 	      1.667 	    -80.441 	    -95.457 
mir_2a_orb005454_n1_i_p1_04_p 	 005454 	 i 	 04 	 p 	    339.890 	      0.233 	    -81.633 	     86.968 
mir_2a_orb005471_n1_e_p1_04_p 	 005471 	 e 	 04 	 p 	    340.640 	      7.050 	     61.712 	     51.962 
mir_2a_orb005494_n1_i_p1_04_p 	 005494 	 i 	 04 	 p 	    341.630 	     21.333 	    -80.081 	    -23.644 
mir_2a_orb005507_n1_e_p1_04_p 	 005507 	 e 	 04 	 p 	    342.200 	      7.200 	     66.434 	    101.574 
mir_2a_orb005526_n1_i_p1_04_p 	 005526 	 i 	 04 	 p 	    343.010 	     20.067 	    -76.561 	    119.823 
mir_2a_orb005543_n1_e_p1_04_p 	 005543 	 e 	 04 	 p 	    343.760 	      7.367 	     70.556 	    151.485 
mir_2a_orb005561_n1_e_p1_04_p 	 005561 	 e 	 04 	 p 	    344.530 	      7.467 	     72.441 	     -3.407 
mir_2a_orb005579_n1_e_p1_04_p 	 005579 	 e 	 04 	 p 	    345.310 	      7.567 	     74.252 	   -158.100 
mir_2a_orb005592_n1_i_p1_04_p 	 005592 	 i 	 04 	 p 	    345.850 	     18.933 	    -67.306 	      9.837 
mir_2a_orb005609_n1_e_p1_04_p 	 005609 	 e 	 04 	 p 	    346.590 	      7.783 	     77.132 	     64.768 
mir_2a_orb005628_n1_i_p1_04_p 	 005628 	 i 	 04 	 p 	    347.390 	     18.633 	    -61.105 	     52.447 
mir_2a_orb005646_n1_i_p1_04_p 	 005646 	 i 	 04 	 p 	    348.150 	     18.500 	    -57.565 	   -105.725 
mir_2a_orb005665_n1_e_p1_04_p 	 005665 	 e 	 04 	 p 	    348.970 	      8.683 	     82.485 	    -87.744 
mir_2a_orb005678_n1_i_p1_04_p 	 005678 	 i 	 04 	 p 	    349.510 	     18.333 	    -50.395 	     53.630 
mir_2a_orb005686_n2_e_p1_04_p 	 005686 	 e 	 04 	 p 	    349.860 	      9.583 	     84.415 	     43.402 
mir_2a_orb005696_n1_i_p1_04_p 	 005696 	 i 	 04 	 p 	    350.270 	     18.267 	    -45.483 	   -104.052 
mir_2a_orb005707_n2_e_p1_04_p 	 005707 	 e 	 04 	 p 	    350.750 	     11.350 	     85.805 	   -172.370 
mir_2a_orb005716_n1_i_p1_04_p 	 005716 	 i 	 04 	 p 	    351.110 	     18.183 	    -39.300 	     40.883 
mir_2a_orb005728_n2_e_p1_04_p 	 005728 	 e 	 04 	 p 	    351.630 	     14.250 	     85.481 	    -10.998 
